qid,category,model,response,prompt_tokens,completion_tokens,latency_ms,cost_usd,keyword_eval,refusal_eval,json_eval,passed_all
q01,easy,gpt-4o-mini,NAV stands for Net Asset Value.,66,7,1621,1.4e-05,1,1,1,1
q01,easy,gpt-4o,NAV stands for Net Asset Value.,66,7,857,0.000235,1,1,1,1
q01,easy,claude-haiku-4-5-20251001,"NAV stands for **Net Asset Value**.

It represents the per-share value of a fund, calculated as:

**NAV = (Total Assets - Total Liabilities) / Number of Outstanding Shares**

NAV is used to price fund shares and is typically calculated at the end of each business day.",66,69,1424,0.000411,1,1,1,1
q02,easy,gpt-4o-mini,The dirty price in fixed income refers to the total price of a bond that includes both the clean price (the quoted price excluding accrued interest) and any accrued interest since the last coupon payment. It represents the actual amount a buyer pays to acquire the bond.,64,51,2069,4e-05,1,1,1,1
q02,easy,gpt-4o,The dirty price of a bond is the total price that includes the accrued interest since the last coupon payment. It is the sum of the bond's clean price (the price excluding accrued interest) and the accrued interest. The dirty price reflects the actual amount a buyer pays when purchasing a bond betwe,64,62,1563,0.00078,1,1,1,1
q02,easy,claude-haiku-4-5-20251001,"# Dirty Price

**Dirty price** (also called **full price** or **invoice price**) is the price of a bond that includes both:

1. **Clean price** - the quoted market price
2. **Accrued interest** - interest earned by the seller since the last coupon payment date

## Formula
**Dirty Price = Clean Price",63,230,3088,0.001213,1,1,1,1
q03,easy,gpt-4o-mini,"An Interest Rate Swap (IRS) is a financial derivative where two parties exchange interest rate cash flows, typically one fixed and one floating rate, based on a specified notional amount. 

A Cap Swap, or Interest Rate Cap, is a type of interest rate derivative that provides a payoff when the refere",69,99,1738,7e-05,1,1,1,1
q03,easy,gpt-4o,"An IRS (Interest Rate Swap) and a Cap Swap are both types of derivative instruments used to manage interest rate risk, but they have different structures and purposes:

1. **Interest Rate Swap (IRS):**
   - An IRS is a contractual agreement between two parties to exchange interest payments on a spec",69,208,4186,0.002252,1,1,1,1
q03,easy,claude-haiku-4-5-20251001,"I'm not familiar with ""IRS"" and ""Cap Swap"" as standard fixed-income security type classifications used in operations.

Could you clarify what you mean? Are you referring to:

- **IRS**: Interest Rate Swap (a derivative)?
- **Cap Swap**: An interest rate cap (also a derivative)?

Or are these interna",70,113,1774,0.000635,1,1,1,1
q04,easy,gpt-4o-mini,"An OC test, or Over-Collateralization test, in a Collateralized Loan Obligation (CLO) measures the ratio of the value of the collateral (the loans) to the outstanding liabilities (the CLO notes). It ensures that the CLO has sufficient collateral to cover its obligations, helping to assess the credit",69,72,1781,5.4e-05,1,1,1,1
q04,easy,gpt-4o,"An OC (Overcollateralization) test in a Collateralized Loan Obligation (CLO) is a financial metric used to ensure that the value of the collateral exceeds the amount of debt issued. It measures the ratio of the total value of the collateral to the outstanding debt. If the OC test is not met, it may ",69,105,2077,0.001223,1,1,1,1
q04,easy,claude-haiku-4-5-20251001,"# OC Test in a CLO

An **OC (Overcollateralization) test** is a covenant that ensures the CLO maintains sufficient asset value relative to its liabilities.

**Key points:**

- **Measures:** The ratio of the market value of collateral (loans) to the par value of outstanding debt tranches
- **Purpose:",70,178,2998,0.00096,1,1,1,1
q05,easy,gpt-4o-mini,"IRR (Internal Rate of Return) measures the annualized return on an investment over time, taking into account the timing of cash flows. MoIC (Multiple on Invested Capital) measures the total return relative to the initial investment, expressed as a multiple, without considering the time value of mone",68,60,1298,4.6e-05,1,1,1,1
q05,easy,gpt-4o,"IRR (Internal Rate of Return) and MoIC (Multiple on Invested Capital) are both metrics used to evaluate the performance of an investment, but they measure different aspects:

1. **IRR (Internal Rate of Return):**
   - IRR is the annualized rate of return at which the net present value (NPV) of all c",68,233,2587,0.0025,1,1,1,1
q05,easy,claude-haiku-4-5-20251001,"# IRR vs MoIC

**IRR (Internal Rate of Return)**
- Annualized percentage return on invested capital
- Accounts for timing and size of cash flows
- Useful for comparing investments with different time horizons
- Example: 15% IRR over 5 years

**MoIC (Multiple on Invested Capital)**
- Total return as ",68,241,3146,0.001273,1,1,1,1
q06,easy,gpt-4o-mini,ABS stands for Asset-Backed Securities.,66,9,806,1.5e-05,1,1,1,1
q06,easy,gpt-4o,"In structured finance, ABS stands for Asset-Backed Securities.",66,13,860,0.000295,1,1,1,1
q06,easy,claude-haiku-4-5-20251001,"ABS stands for **Asset-Backed Securities**.

These are securities backed by a pool of assets (such as mortgages, auto loans, credit card receivables, or other loans) that generate cash flows. The cash flows from the underlying assets are used to pay interest and principal to ABS investors.",66,67,1312,0.000401,1,1,1,1
q07,easy,gpt-4o-mini,"Duration in fixed income is a measure of the sensitivity of a bond's price to changes in interest rates, reflecting the weighted average time until cash flows are received.",66,32,1215,2.9e-05,1,1,1,1
